模拟轮数,玩家1,玩家2,玩家3,玩家4,玩家5,玩家6,玩家7,玩家8,玩家9
1,1,500000,5373,67,500000,500000,15,114,9
2,8295,500000,500000,2204,500000,500000,868,135,500000
3,500000,500000,1081,500000,500000,500000,1899,500000,25
4,500000,500000,593,500000,500000,500000,3157,500000,500000
5,500000,500000,371,5,500000,500000,237,500000,500000
6,500000,500000,8,500000,500000,500000,656,500000,500000
7,500000,500000,159,33,500000,500000,1788,500000,53
8,500000,500000,12,500000,500000,500000,1571,500000,500000
9,500000,500000,28,500000,500000,500000,963,500000,500000
10,500000,500000,419,500000,500000,500000,907,500000,500000
11,500000,500000,783,500000,500000,500000,22,500000,500000
12,500000,500000,10823,68,500000,500000,382,500000,500000
13,500000,500000,2283,500000,500000,500000,58,36,500000
14,500000,500000,6168,401,500000,500000,2978,35,301
15,500000,4724,500000,66,500000,500000,900,75,117
16,500000,500000,1,500000,500000,500000,740,500000,500000
17,500000,500000,340,500000,500000,500000,1792,500000,500000
18,500000,500000,1294,108,500000,500000,1054,500000,500000
19,500000,500000,18,500000,500000,500000,470,500000,500000
20,500000,500000,42149,500000,500000,500000,1129,667,500000
21,500000,500000,5424,500000,500000,500000,3541,58,500000
22,57,96,500000,3255,500000,500000,150386,18339,1598
23,500000,500000,3782,74,500000,500000,514,34,228
24,204,500000,38733,500000,500000,500000,4151,500000,500000
25,10035,199578,500000,500000,500000,500000,31,77465,500000
26,500000,500000,1,500000,500000,500000,945,500000,500000
27,500000,500000,1,500000,500000,500000,1327,500000,500000
28,500000,500000,10,500000,500000,500000,975,500000,500000
29,500000,500000,22,500000,500000,500000,3329,500000,10
30,17,500000,10085,99,500000,500000,152,259,57
31,500000,500000,2,500000,500000,500000,6354,500000,500000
32,500000,500000,258,500000,500000,500000,555,500000,500000
33,500000,500000,736,500000,500000,500000,102,500000,500000
34,500000,500000,2071,29,500000,500000,221,500000,500000
35,500000,500000,1364,500000,500000,500000,252,64,500000
36,500000,500000,953,132,500000,500000,1298,500000,500000
37,500000,500000,873,500000,500000,500000,2472,500000,82
38,500000,500000,4448,500000,500000,500000,417,500000,151
39,500000,500000,784,500000,500000,500000,3358,500000,500000
40,500000,500000,5016,96,500000,500000,2487,500000,500000
41,500000,500000,743,500000,500000,500000,1057,500000,500000
42,5,500000,31461,2157,500000,500000,2718,346,500000
43,500000,500000,9,500000,500000,500000,935,500000,500000
44,500000,500000,20637,39,500000,500000,289,29,500000
45,500000,500000,2,500000,500000,500000,13477,500000,500000
46,500000,500000,209,43,500000,500000,6437,200,500000
47,2163,7975,500000,490,500000,500000,707,623,7280
48,500000,500000,1174,500000,500000,500000,619,500000,500000
49,500000,500000,2,500000,500000,500000,1146,500000,500000
50,500000,500000,1,500000,500000,500000,3001,500000,500000
51,500000,500000,11,500000,500000,500000,544,500000,500000
52,500000,1442,23116,4999,500000,500000,53,11,42
53,4129,500000,56387,136,500000,500000,888,500000,500000
54,500000,500000,175,500000,500000,500000,1750,500000,500000
55,500000,500000,35,500000,500000,500000,3310,500000,500000
56,500000,500000,141,500000,500000,500000,991,500000,500000
57,500000,500000,856,500000,500000,500000,878,500000,500000
58,500000,500000,21952,32,500000,500000,83,9562,79
59,500000,500000,500000,3921,500000,500000,6,32,14019
60,500000,500000,34,500000,500000,500000,4202,500000,500000
61,500000,500000,69,500000,500000,500000,32,500000,25
62,500000,500000,617,52,500000,500000,406,500000,500000
63,500000,500000,16,500000,500000,500000,2862,500000,500000
64,366,1431,4569,500000,500000,500000,527,19,500000
65,500000,500000,14,500000,500000,500000,2309,500000,20
66,500000,500000,27,500000,500000,500000,3573,500000,500000
67,500000,500000,1822,500000,500000,500000,23,500000,500000
68,500000,500000,67,500000,500000,500000,497,500000,500000
69,500000,500000,18,500000,500000,500000,671,500000,500000
70,500000,500000,23,500000,500000,500000,1055,500000,500000
71,500000,500000,159,500000,500000,500000,4238,500000,500000
72,500000,500000,1200,500000,500000,500000,27,500000,500000
73,500000,500000,2,500000,500000,500000,2098,500000,500000
74,500000,500000,46,500000,500000,500000,6607,500000,500000
75,500000,1305,500000,826,500000,500000,236,500000,4596
76,500000,500000,100,500000,500000,500000,701,500000,500000
77,500000,500000,217,500000,500000,500000,3207,500000,500000
78,500000,500000,7,500000,500000,500000,1729,500000,500000
79,500000,500000,103,500000,500000,500000,4910,500000,500000
80,2,500000,24976,1116,500000,500000,323,580,2146
81,500000,500000,24240,500000,500000,500000,3197,500000,500000
82,500000,500000,11,500000,500000,500000,563,500000,500000
83,500000,500000,32457,500000,500000,500000,4265,828,500000
84,33,19311,407994,14,500000,500000,329,3561,500000
85,500000,500000,1671,85,500000,500000,848,500000,500000
86,45,500000,11797,1005,500000,500000,426,9,46
87,500000,500000,36,500000,500000,500000,1289,500000,500000
88,500000,500000,79,500000,500000,500000,678,500000,500000
89,500000,500000,31252,500000,500000,500000,71,5,500000
90,500000,500000,1600,500000,500000,500000,2246,3,500000
91,500000,500000,35280,285,500000,500000,2203,500000,500000
92,500000,500000,11,500000,500000,500000,1132,500000,500000
93,500000,500000,213,500000,500000,500000,2196,500000,500000
94,500000,500000,32,500000,500000,500000,1815,500000,500000
95,500000,500000,2320,500000,500000,500000,576,24,500000
96,500000,500000,3725,500000,500000,500000,669,500000,500000
97,500000,500000,4570,500000,500000,500000,1566,2,500000
98,500000,500000,169,42,500000,500000,622,500000,500000
99,500000,500000,1206,500000,500000,500000,3201,500000,500000
100,500000,500000,142,500000,500000,500000,128,500000,500000
